article_link,sentence,date,author,author_link,tag,views
/news/altcoins-and-stocks-move-higher-after-bitcoin-price-rally-to-40-000,"Altcoins and stocks move higher after Bitcoin price rally to $40,000",7/1/21,Jordan Finneseth,/authors/jordan-finneseth,Market Update,20776
/news/xrp-price-soars-55-to-crucial-level-as-bitcoin-notches-new-high-at-38-5k,XRP price soars 55% to 'crucial' level as Bitcoin notches new high at $38.5K,7/1/21,William Suberg,/authors/william-suberg,Market Update,21323
/news/blockchain-com-follows-other-exchanges-in-delisting-xrp,Blockchain.com follows other exchanges in delisting XRP,6/1/21,Marie Huillet,/authors/marie-huillet,News,16249
/news/ripple-co-founder-jed-mccaleb-sold-400-million-worth-of-xrp-in-2020,Ripple co-founder Jed McCaleb sold $400 million worth of XRP in 2020,6/1/21,Cyrus McNally,/authors/cyrus-mcnally,News,45746
/news/xrp-whales-are-sinking-fast,XRP whales are sinking fast,5/1/21,Sam Bourgi,/authors/sam-bourgi,News,26121
/news/grayscale-dumps-xrp-here-s-where-it-s-putting-the-cash,Grayscale dumps XRP: Here's where it's putting the cash,5/1/21,Sam Bourgi,/authors/sam-bourgi,News,37786
/news/xlm-price-gains-30-in-a-day-as-positive-sentiment-shifts-from-xrp-to-stellar,XLM price gains 30% in a day as positive sentiment shifts from XRP to Stellar,5/1/21,William Suberg,/authors/william-suberg,Altcoin Watch,40154
/news/xrp-enthusiasts-seek-to-force-white-house-s-hand-on-sec-suit,XRP enthusiasts seek to force White House’s hand on SEC suit,2/1/21,Andrew Thurman,/authors/andrew-thurman,News,59861
/news/us-exchanges-are-suspending-or-delisting-xrp-left-and-right,US exchanges are suspending or delisting XRP left and right,31/12/20,Osato Avan-Nomayo,/authors/osato-avan-nomayo,News,25233
/news/top-10-crypto-and-blockchain-stories-of-2020,Top 10 crypto and blockchain stories of 2020,31/12/20,Andrew Singer,/authors/andrew-singer,New Year Special,7900
/news/bitcoin-stablecoins-and-defi-2020-s-top-performing-crypto-assets,"Bitcoin, stablecoins and DeFi: 2020’s top-performing crypto assets",30/12/20,Joseph Young,/authors/joseph-young,New Year Special,17028
/news/sec-lawsuit-against-ripple-set-for-virtual-pretrial-conference-in-february,SEC lawsuit against Ripple set for virtual pretrial conference in February,30/12/20,Osato Avan-Nomayo,/authors/osato-avan-nomayo,News,22707
/news/ripple-vows-to-respond-to-sec-attack-amid-exchange-delistings-of-xrp,Ripple vows to respond to SEC ‘attack’ amid exchange delistings of XRP,29/12/20,Sam Bourgi,/authors/sam-bourgi,News,29074
/news/how-low-could-xrp-go-watch-these-price-levels-next,How low can XRP go? Watch these price levels next,29/12/20,Joseph Young,/authors/joseph-young,Market Analysis,63643
/news/bitcoin-price-rally-cools-down-as-polkadot-gains-34-in-first-week-of-altseason,Bitcoin price rally cools down as Polkadot gains 34% in first week of ‘altseason’,29/12/20,William Suberg,/authors/william-suberg,Market Update,39904
/news/xrp-price-faces-a-rocky-road-to-recovery-ahead-of-sec-s-ripple-lawsuit,XRP price faces a rocky road to recovery ahead of SEC’s Ripple lawsuit,29/12/20,Shiraz Jagati,/authors/shiraz-jagati,Follow up,44899
/news/sec-vs-ripple-a-predictable-but-undesirable-development,SEC vs. Ripple: A predictable but undesirable development,28/12/20,Carol Goforth,/authors/carol-goforth,Expert Take,81664
